Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Ruby,XML,CSS,Shell,Sum
5,1005,0,0,0,36,17,0,0,8,7,1073
6,1009,0,0,0,36,17,0,0,8,7,1077
7,1198,0,0,0,36,17,0,0,8,7,1266
8,1216,0,0,0,36,17,0,0,8,7,1284
9,1219,0,0,0,36,20,0,0,8,7,1290
10,1259,0,0,0,36,21,0,0,8,10,1334
11,1541,0,0,0,36,16,0,0,0,7,1600
12,1595,0,0,0,36,18,0,0,0,7,1656
13,1626,0,0,0,41,18,0,0,0,7,1692
14,1555,0,0,0,41,18,0,0,0,13,1627
15,1509,0,0,0,41,0,0,0,0,13,1563
17,1722,0,0,0,41,0,0,0,0,13,1776
18,1751,0,0,0,41,0,0,0,0,15,1807
19,1771,0,0,0,41,0,0,0,0,19,1831
20,1952,0,0,0,41,0,0,0,0,19,2012
21,1803,0,0,0,41,0,0,0,0,19,1863
22,1220,0,0,0,41,0,0,0,0,19,1280
23,1142,0,0,0,41,0,0,0,0,19,1202
24,1158,0,0,0,41,0,0,0,0,19,1218
25,1035,0,0,0,41,0,0,0,0,19,1095
26,1028,0,0,0,41,1,0,0,0,19,1089
27,1033,0,0,0,41,1,0,0,0,19,1094
28,1060,0,0,0,41,1,0,0,0,19,1121
29,1059,0,0,0,41,1,0,0,0,20,1121
30,1062,0,0,0,41,1,0,0,0,20,1124
31,1070,0,0,0,41,1,0,0,0,21,1133
32,2179,0,0,0,41,1,0,0,0,21,2242
33,2202,0,0,0,41,1,0,0,0,21,2265
34,2215,0,0,0,41,1,0,0,0,23,2280
35,2335,0,0,0,41,1,0,0,0,23,2400
36,2413,0,0,0,41,1,0,0,0,23,2478
37,2321,0,0,0,41,1,0,0,0,23,2386
38,2316,0,0,0,41,1,0,0,0,23,2381
39,2393,0,0,0,41,1,0,0,0,23,2458
40,2403,0,0,0,40,1,0,0,0,23,2467
41,2477,0,0,0,40,1,0,0,0,23,2541
42,2644,0,0,0,40,1,0,0,0,23,2708
43,2726,0,0,0,40,1,0,0,0,23,2790
44,2760,0,0,0,40,1,0,0,0,23,2824
45,2963,0,0,0,94,1,0,0,0,26,3084
