Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Sum
5,67,0,0,0,0,0,67
6,67,0,0,0,0,0,67
7,65,0,0,0,0,0,65
8,65,0,0,0,0,0,65
9,65,0,0,0,0,0,65
10,65,0,0,0,0,0,65
11,65,0,0,0,0,0,65
12,40,0,0,0,0,0,40
13,40,0,0,0,0,0,40
14,19,0,0,0,0,0,19
15,19,0,0,0,0,0,19
17,20,0,0,0,0,0,20
18,25,0,0,0,0,0,25
19,26,0,0,0,0,0,26
20,27,0,0,0,0,0,27
21,27,0,0,0,0,0,27
22,27,0,0,0,0,0,27
23,27,0,0,0,0,0,27
24,27,0,0,0,0,0,27
25,27,0,0,0,0,0,27
26,27,0,0,0,0,0,27
27,27,0,0,0,0,0,27
28,27,0,0,0,0,0,27
29,27,0,0,0,0,0,27
30,27,0,0,0,0,0,27
31,38,0,0,0,0,0,38
32,50,0,0,0,0,0,50
33,50,0,0,0,0,0,50
34,50,0,0,0,0,0,50
35,50,0,0,0,0,0,50
36,50,0,0,0,0,0,50
37,4,0,0,0,0,0,0
38,4,0,0,0,0,0,0
