Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Sum
5,982,0,0,247,0,34,1263
6,1020,0,0,261,0,34,1315
7,1165,0,0,336,0,179,1680
8,1259,0,0,375,0,179,1813
9,1332,0,0,510,0,179,2021
10,1361,0,0,534,0,179,2074
11,1547,39,0,548,0,208,2342
12,1528,39,0,562,0,220,2349
13,1534,26,0,495,0,207,2262
14,1542,26,0,498,0,201,2267
15,1601,26,0,500,0,201,2328
17,1597,26,0,554,0,240,2417
18,1613,26,0,568,0,240,2447
19,1669,26,0,568,0,240,2503
20,1718,26,0,569,0,240,2553
21,1831,26,0,569,0,240,2666
22,1989,26,0,595,0,239,2849
23,2018,26,0,609,0,239,2892
24,2073,27,0,611,0,320,3031
25,2101,27,0,611,0,320,3059
26,2158,27,0,601,0,320,3106
27,2150,27,0,601,0,320,3098
28,2079,27,0,615,0,320,3041
29,2209,53,0,615,0,320,3197
30,2278,53,0,615,0,320,3266
31,2905,53,0,525,0,320,3803
32,2960,53,0,525,0,320,3858
33,2966,79,0,523,0,321,3889
34,3118,79,0,528,0,321,4046
35,3113,79,0,528,0,321,4041
36,3113,79,0,541,0,321,4054
37,3135,79,0,530,0,321,4065
38,3152,79,0,550,0,321,4102
39,3173,79,0,550,0,321,4123
40,3173,79,0,563,0,322,4137
41,3173,79,0,565,0,322,4139
42,3209,79,0,592,0,322,4202
43,3098,79,0,591,0,322,4090
44,2727,27,0,595,0,293,3642
