Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Sum
5,9280,0,0,668,0,769,10717
6,9529,0,0,667,0,768,10964
7,9551,0,0,723,0,793,11067
8,9873,0,0,755,0,817,11445
9,10087,0,0,744,0,838,11669
10,9978,0,0,771,0,839,11588
11,10615,0,0,773,0,841,12229
12,11100,0,0,818,0,902,12820
13,11503,0,0,879,0,970,13352
14,11647,0,0,891,0,967,13505
15,11727,0,0,922,0,964,13613
17,12066,0,0,951,0,1003,14020
18,12186,0,0,964,0,1011,14161
19,12451,0,0,965,0,1011,14427
20,13006,0,0,1002,0,1036,15044
21,13290,0,0,1000,0,1036,15326
22,13694,0,0,1021,0,1066,15781
23,14287,0,0,1041,0,1080,16408
24,14918,0,0,1041,0,1080,17039
25,15053,0,0,1042,0,1080,17175
26,14130,0,0,1050,0,1076,16256
27,14292,0,0,1039,0,1056,16387
28,13588,0,0,1037,0,1054,15679
29,14971,0,0,1162,0,1192,17325
30,15048,0,0,1172,0,1192,17412
31,15075,0,0,1183,0,1192,17450
32,15382,0,0,1195,0,1229,17806
33,15506,0,0,1200,0,1229,17935
34,15709,0,0,1240,0,1268,18217
35,15760,0,0,1240,0,1271,18271
36,15855,0,0,1248,0,1282,18385
37,15582,0,0,1267,0,1310,18159
38,19472,0,0,1288,0,1318,22078
39,19506,0,0,1287,0,1318,22111
40,19589,0,0,1298,0,1342,22229
41,19843,0,0,1298,0,1342,22483
42,19811,0,0,1296,0,1334,22441
43,22744,0,0,1302,0,1342,25388
44,21149,0,0,1338,0,1369,23856
45,21582,0,0,1353,0,1383,24318
46,16217,0,0,1388,0,1373,18978
47,16263,0,0,1411,0,1389,19063
48,16844,0,0,1418,0,1421,19683
49,17682,0,26,1424,0,1452,20584
50,18191,0,26,1426,0,1460,21103
51,18281,0,26,1450,0,1508,21265
52,20251,0,26,1508,0,1606,23391
53,20310,0,26,1516,0,1656,23508
54,21806,0,26,1569,0,1754,25155
55,21260,0,26,1423,0,1614,24323
56,21750,0,26,1453,0,1644,24873
57,23004,0,26,1491,0,1653,26174
58,23389,0,26,1514,0,1684,26613
59,24429,0,26,1528,0,1684,27667
60,23597,0,0,1454,0,1498,26549
61,31884,0,0,1439,0,1783,35106
62,30091,0,0,1546,0,1634,33271
63,27735,0,0,1554,0,1671,30960
64,28629,0,0,1356,0,1246,31231
65,29094,0,0,1357,0,1247,31698
