Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Sum
45,1406,19,0,480,0,277,2182
46,1429,19,0,485,0,277,2210
47,1424,19,0,471,0,277,2191
48,1426,19,0,473,0,277,2195
49,1500,19,0,473,0,277,2269
50,1539,19,0,473,0,277,2308
51,1551,19,0,471,0,277,2318
52,1545,19,0,473,0,277,2314
53,1563,19,0,473,0,277,2332
54,1564,19,0,457,0,277,2317
55,1339,15,0,427,0,263,2044
56,1373,15,0,428,0,263,2079
57,1486,15,0,428,0,263,2192
58,1528,15,0,438,0,270,2251
59,1461,15,0,445,0,270,2191
60,1464,15,9,545,0,504,2537
61,1385,13,9,555,0,507,2469
62,1356,32,0,510,0,492,2390
63,1432,40,0,541,0,507,2520
