Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Sum
5,0,0,0,0,0,89,89
6,0,0,0,0,0,89,89
7,0,0,0,0,0,95,95
8,0,0,0,0,0,95,95
9,0,0,0,0,0,95,95
10,0,0,0,0,0,96,96
11,0,0,0,0,0,96,96
12,0,0,0,0,0,96,96
13,0,0,0,0,0,96,96
14,0,0,0,0,0,96,96
15,0,0,0,0,0,96,96
17,0,0,0,0,0,96,96
18,0,0,0,0,0,203,203
19,0,0,0,0,0,201,201
20,0,0,0,0,0,202,202
21,0,0,0,0,0,198,198
22,133,0,0,0,0,258,391
23,183,0,0,0,0,239,422
24,183,0,0,0,0,249,432
25,468,0,0,0,0,157,625
26,534,0,0,0,0,163,697
27,586,0,0,0,0,216,802
28,587,0,0,0,0,216,803
29,587,0,0,0,0,311,898
30,587,0,0,0,0,312,899
31,587,0,0,0,0,308,895
32,587,0,0,0,0,308,895
33,587,0,0,0,0,308,895
34,587,0,0,0,0,308,895
35,602,0,0,0,0,308,910
36,604,0,0,0,0,353,957
37,592,0,0,0,0,324,916
38,590,0,0,0,0,324,914
39,600,0,0,0,0,332,932
40,600,0,0,0,0,332,932
41,613,0,0,0,0,502,1115
42,613,0,0,0,0,557,1170
43,608,0,0,0,0,557,1165
44,615,0,0,0,0,580,1195
45,615,0,0,0,0,606,1221
46,615,0,0,0,0,783,1398
47,612,0,0,0,0,789,1401
48,627,0,0,0,0,813,1440
49,662,0,0,0,0,839,1501
50,662,0,0,0,0,863,1525
51,661,0,0,0,0,931,1592
52,661,0,0,0,0,931,1592
53,661,0,0,0,0,932,1593
54,661,0,0,0,0,927,1588
55,649,0,0,0,0,965,1614
56,782,0,0,0,0,1040,1822
57,791,0,0,0,0,1130,1921
58,1074,0,0,0,0,1225,2299
59,1073,0,0,0,0,1249,2322
60,1251,0,0,0,0,1335,2586
61,938,0,0,0,0,1306,2244
62,1015,0,0,0,0,1335,2350
63,1074,0,0,0,0,1283,2357
64,1160,0,0,0,0,1526,2686
65,1318,0,0,0,0,1530,2848
