Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Ruby,XML,CSS,Shell,Sum
45,0,0,0,0,0,0,94,0,0,0,94
46,0,0,0,0,0,0,91,0,0,0,91
47,0,0,0,0,0,0,84,0,0,0,84
48,0,0,0,0,0,0,84,0,0,0,84
49,0,0,0,0,0,0,84,0,0,0,84
50,0,0,0,0,0,0,84,0,0,0,84
51,0,0,0,0,0,0,84,0,0,0,84
52,0,0,0,0,0,0,84,0,0,0,84
53,0,0,0,0,0,0,85,0,0,0,85
54,0,0,0,0,0,0,85,0,0,0,85
55,0,0,0,0,0,0,85,0,0,0,85
56,0,0,0,0,0,0,85,0,0,0,85
57,0,0,0,0,0,0,85,0,0,0,85
58,0,0,0,0,0,0,113,0,0,0,113
59,0,0,0,0,0,0,113,0,0,0,113
60,0,0,0,0,0,0,138,0,0,0,138
61,0,0,0,0,0,0,138,0,0,0,138
62,0,0,0,0,0,0,138,0,0,0,138
63,0,0,0,0,0,0,142,0,0,0,142
64,0,0,0,0,0,0,757,0,0,0,757
65,0,0,0,0,0,0,210,0,0,0,210
